Systematic ORF Name	Common Gene Name	Probe bp position	Probe No.	Average WT fluorescent intensity value	Average spt6 fluorescent intensity value	Average spt6/WT ratio	Ratio of spt6/WT to Probe No. 1 spt6/WT	spt6 short transcript gene?
YAL016W	TPD3	1479	5	1117.89200648497	1055.64296260629	0.986620978429855	0.868348890978407	No
YAL016W	TPD3	1849	6	1028.13867222023	1484.42192515066	1.40421028986617	1.23587930376898	No
YAL017W	PSK1	1	1	274.556111752628	294.583615612998	1.10012013984325	1	Yes
YAL017W	PSK1	803	2	153.181497416245	183.991816224141	1.28931993446302	1.17198102985982	Yes
YAL017W	PSK1	1605	3	158.795795486701	392.826143240747	2.5298485112699	2.29961112395449	Yes
YAL017W	PSK1	2407	4	133.509756763933	260.092074413556	2.19995352646869	1.99973934372491	Yes
YAL017W	PSK1	3209	5	394.508097673173	1636.26669846334	4.09620377675592	3.72341495115213	Yes
YAL017W	PSK1	4012	6	407.920598970146	1800.12553511006	4.32313832317763	3.92969655459049	Yes
YAL018C		1	1	35.2766884589876	166.395608270359	2.97077987199209	1	No
YAL018C		184	2	12.8441227458403	54.9699727996325	4.24911927310715	1.43030431610466	No
YAL018C		368	3	11.3938855865217	49.7787204005325	4.73497476345441	1.59384907919122	No
YAL018C		551	4	4.99111703865352	74.7498947451983	13.2437740742724	4.45801259094689	No
YAL018C		735	5	18.2860299545162	98.8682137136643	5.63201869085613	1.89580478309876	No
YAL018C		919	6	32.9305350857386	198.505488648208	6.19611401361518	2.08568600859016	No
YAL019W	FUN30	1	1	422.109546334258	325.299856776832	0.79383235588498	1	No
YAL019W	FUN30	668	2	530.042176043673	566.046233058825	1.06532373171423	1.34200089454226	No
YAL019W	FUN30	1335	3	779.511056632231	836.83573921504	1.05972211914017	1.3349444769844	No
YAL019W	FUN30	2002	4	434.448209162145	617.294695809666	1.28585206377652	1.61980304058408	No
YAL019W	FUN30	2669	5	242.908434489826	380.082178458273	1.59061952090885	2.00372220799138	No
YAL019W	FUN30	3337	6	592.752881083501	806.847915748891	1.26665876153109	1.59562501092437	No
YAL020C	ATS1	1	1	691.611983969574	300.472138771456	0.43698900446924	1	No
YAL020C	ATS1	189	2	526.483264222551	205.745034870452	0.367563032753939	0.841126502028067	No
YAL020C	ATS1	377	3	239.648926336955	92.2313976750158	0.385089281588151	0.881233343744826	No
YAL020C	ATS1	566	4	364.935127838699	294.982327263769	0.809840383000058	1.85322828427612	No
YAL020C	ATS1	754	5	423.047426409706	291.061208869653	0.634176054790236	1.45124030193963	No
YAL020C	ATS1	943	6	660.521168296869	482.769874362883	0.743634805871064	1.70172429572747	No
YAL021C	CCR4	1	1	952.300533434723	515.512508838834	0.526333260138431	1	Yes
YAL021C	CCR4	491	2	361.454260650741	221.518860361315	0.619666615899049	1.17732748968984	Yes
YAL021C	CCR4	982	3	255.021735237112	180.746890659121	0.734512622637251	1.3955276594986	Yes
YAL021C	CCR4	1473	4	906.198832324681	1062.78980367883	1.20637772120057	2.29204158764977	Yes
YAL021C	CCR4	1964	5	278.962025586925	1230.28490659807	4.4498748692909	8.4544816113664	Yes
YAL021C	CCR4	2455	6	331.275106031695	1086.07954379208	3.10498411613892	5.89927399861121	Yes
YAL022C	FUN26	1	1	1073.57598743254	179.806983927551	0.167562525993981	1	Yes
YAL022C	FUN26	299	2	418.268616850302	122.060767522621	0.291918140849319	1.74214454644713	Yes
YAL022C	FUN26	598	3	1053.91250880296	548.487315938289	0.520430664145225	3.10588934523415	Yes
YAL022C	FUN26	897	4	895.170667225103	498.460303783875	0.526458001558229	3.14186002171596	Yes
YAL022C	FUN26	1196	5	1794.88478450258	910.118701808273	0.503453891848667	3.00457330099424	Yes
YAL022C	FUN26	1495	6	1051.56511075631	431.771887417915	0.38393907182978	2.29131823808608	Yes
YAL023C	PMT2	1	1	2725.03659055358	1333.65370897607	0.488342157052839	1	No
YAL023C	PMT2	445	2	1743.9609044482	816.182052711532	0.464024464211013	0.950203576548493	No
YAL023C	PMT2	889	3	1613.64731810858	1082.91806933124	0.727735427015203	1.49021626846044	No
YAL023C	PMT2	1333	4	1511.56478180958	1022.71406848498	0.664718771123984	1.36117425359216	No
